,Statements,Label
167,Dahir waa ninka keliya o sharmarke ijaar ka dhibey telefon u gadey la hadley waniyey dahir waxu ka xumadey marku u hesey xarmajovo shabaab wata xarmajo waxu sir ku watey carur gatey hoyoyinkii dhaley carurta ma hayaan geri iyo nolol xarmajo waxu kanada ka keney nin qawan o marexana xajaar o dumarka badaya o sbarro dhigtey marka dahir waa nin wanaagsan xashiish boy waxu dhegeystey shiine af baqaar kapitan sheydaan mexey xashiish boy ugu heyn wayeen muqdisho naftiisii ayey halis geliyeen kii hawiye ku tag tagsado saanle u danbeysa lakiin ka qale,1
168,Masha Allah Masul Sare Aad Tahay Runti Mr Dahir Liwax Liwax Dhali Hada wanaji qalad kisa wos qarti sxb,1
169,Asc wll soo raac link oo daawo wacdi qiimo badan https://vm.tiktok.com/ZMecUFrrh/,1
170,Dahir calasow waxaa ahay taageerahaaga kowaad ninkaan iska cafi waliba ka shaqeey siduu xabsiga uga soo bixi lahaay tolkana gobanimaa lagu yaqaanay ee gun hanaga dhigin iska cafi cunuga sxb,1
171,Asc brother. Adahir calasow..brother. Iska cafii. Sharma boys. Waa wilkado kale. Aduun ka waxaa uu waanagsane. Qofka waxaa cafiiya. Dahir please forgive him. My allahaa forgive you too. Haholato. Habiiqleeso group.,1
172,Dahir alasow geesi geesi dhalay legend,1
173,Sxb raga wos gafa magafe waa Allah e gacanta is geliya ena cafi waa nin culus ena u fasax YouTube ka tanks mr dahir,1
174,Abti daahir iska cafi wiilka tabartiisa aya tustayee,1
175,Shibir tuul tuul badhan af libax aykudacdhaa ≡ƒÿé≡ƒÿémarka iskafaci Suldan Dahir calisow ≡ƒæÅ≡ƒæÅ≡ƒæÅ≡ƒæÅ,1
176,sharma boy hanoolato,1
177,Kkkkkkk waryaa dhaaf ninka ragaa waa qol sharma waa nin rageet,1
178,Lpx hadii aad wax garad tahay ninkaan ka wareeji,1
179,Asc wariye sare dahir alasow libax libax dhalay noloow Γ¥ñ≡ƒÆ»≡ƒÆû≡ƒÆ»≡ƒæì≡ƒÆ»Γ£ì≡ƒÆ»≡ƒÆ¥,1
180,"Wlhi blhi tlhi daahir doqqon ma raalli gallin lahayn, haddii aan sharma boy bartiisa ku jiro.      #Anoo waxa aan alle raalli ka ahayn ku dhex jirra oo illahay raalli gallin waayey qof iga gardarran ma raalli galiyeen.      #Bowdyo #Raggeed #Midba #Maallin #Qaawan.",1
181,Boqorka soshiya midhiyaha isga cafi niakaragi wa ka marku khaldamo khaldkisa saxa,1
182,Team ha biqlayso beesha hawiyo waad difaacday alxaaji daahir calasow,1
183,Fanaanka iskadaa daahiroow,1
184,"Iska cafio wilka ciil ha badan nin rag ah in la ciilo ma,ahan in uusan alle ku ceelin",1
185,Sharma caloosha I huriyay wiilka iska cafi Daahiroow,1
186,Adeer daahir iska cafi,1
187,Alle waxaan kabaryeya caqli xikmad kalsoni inuu siyo wiilkas yarka uu xiftiyo allow wehel unoqo ralina kahow marwalab heerka kan ugu dheer garsiya nin lugu baryo inuu kasoo qeyebgalo halmar kaliya uu noqdaa meshaas injirta iyo cayayaanka degaan bada idinku sorogmatey nacalaa wacaladaa tihin furukhdii iska kiin dhashey kuyala saqirkina ilaa kibirkina waad iskutagertaan xumanta Alle haidinka qabto islamaka ≡ƒñ▓≡ƒñ▓,1
188,Dahir alasow broh hada asi ayaba shil galay xiran gabarna gacantisa sawabsatay tii alle heysato kasokone dhiig lugu heysta wn ku barya iska cafi usi day youtube kiisa asiga dhibateysan plz dahir iska cafi wa wiil yar iska sabar dahir karonow ada ka weyne ilmo nima wadee,1
189,Sharma boy wa wil yar si nin waynbu kula hadley fasax wiilka oo cafiska qado.,1
190,War dahirow ninka calooshu ka hadlay ee ka qalee nin rag ah lama ciile hore u soco ku dheh shekadana mesha ku soo xir madxwenaha social media oday dahir,1
191,Cadowga ha iijabin ≡ƒÿ¬≡ƒÿ¬ iska dhaaf maskiinka dad aa waalay ee iska daa    Wiilka riyadiisa haka hor istaagin   Sharma inoo qabyaalad aqoon waa la ogyahay ee waa dhalin yaro oo daruf kusoo koray≡ƒÿô≡ƒÿô,1
192,Daa Ina daahir calasow abti mcn ninka xanin yaha udey rag bo iska dhici naya waa wilkaga abti mcn cadowga ha iska jibiyo ≡ƒÿî≡ƒÑ║,1
193,Mashallha gool iyo gobonimo,1
194,Nabiga kusaliyaa walalayaal SCW,1
195,Ilahay kacabso ubadka iyo hablaheena sharafta badan iyo diinta all├⌐ adigoo egaya qimaynayana kasaar waxan mesha ilahayna utoobad keen     Waano walaalnimo   Views waxba ha eegin iyo subscribe lakiin manta iyo bari xusuuso,1
196,Arintaaan wax fiican ma ah ilaah ka baq bana jeey,1
197,Yaaaa Allha Yaaaaa Rxman Rabiyow nakaa ralii noko,1
198,Boqorada hawenka ku lahaaa subxnalaah baba ilhey ka cabso aduun io aqiro wa daris≡ƒÿÑ,1
199,War Ninkaan Repot ku qabta haddii aad sinada uu dhiirigalinayo waxaan rabaa qofkii alle iyo Rasuulkisa jacel Waxa igu yar uu sameeyn karo oo ha sameeyo,1
200,"Subaxana,laah fadaro badana",1
201,Subxanalh,1
202,Baba jey tagero Ku ahay Subscribe iga tahay alle ha so Hanuuniyo gabarta hadii hanun leedahay,1
203,Ninkaan unsubscribe haladhoho soomaaliyey hala tuso inan raali ka ahayn waxaan oo nahay da ad muslina nahay waxaana dhaqan ulahayn raali kama noqon karno ≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí≡ƒÿí,1
204,Scw scw scw,1
205,Ha lagu saliyo Nabi Maxamed n n k h,1
206,Wlhi kan Dumarkeeena Kula talinaya in ay sexx jilaan oo dharka dhigan Kuwii subscribers u saaray Ee aaminsan munafaqan wala Mid Hooyadii iyo walashii sidan in ay sameyan waa Mid jecel hadii hoyada iyo walasha wanaag la rabto please kala laabo oo alle dartii u naclad kuwan diinta iyo dhaqanka in ay tir tiran ku heshiiyay≡ƒÿí≡ƒÿí≡ƒÿí,1
207,Subxanalah,1
208,Subxaanalah,1
209,Subxanallah war illaahay ka xishood xumaanta inaa faaafiso irsiqna ka raadiso waa ayaan daro,1
210,Wllo allaah ka baq plz ka baxi,1
211,Baba jeey niyow sidan waa laga quruxbadan yahay in gabadh fusuq wada aad usoogudbiso umada muslinka ah rag iyo dumarba iyo caruurba kuma haboona talabaad waxay gabadhani gubinaysaa in lagudaydo hablahana ay halayso markaa adigoo ah ninwayn oo reerleh xaas iyo carrur leh inaad waxan soo gudbisaa may quruxbadnayn mise umadaada iyo aakhiradada dhan waxa kaaga qiimabatay dhaqaalo inaad samayso ilahay kabaq niyo iskunoqo hadii aad se kilibkan aad kasariwayso ogow daawadayaashu si cad ayay wax ugaqaban doonaan fiidhyowgan dislayk ayaan u abaabuli donaa run ahaan tii wax looduqaadan karoma aha mana iga aha inaan adiga kuudanleeyahay,1
212,Wllo allaah ka baq iska Daleyt video plz,1
213,War xishow.ninyahow oo alle kacabso maxa saan ruux asturan no keen wamacay waxan qawan,1
214,Wll baba jey gawar bad dhashay sidan sharaf kuma ahan ≡ƒÖä≡ƒÑ║,1
215,Subxanahallh,1
216,Subxana AllAh,1
217,Wallee baabajeeyoow irsaaqadda meel xun baa ka raadisaa adi qof aanan bulshada waxba eysan ka faaideenna waa buun buunisaa marke walaalkeyoow waxaan waa adduun aaqiraddaadda fiirso baa ku oran laha addun iyo aaqiro kala roon,1
218,Kasaar video wll,1
219,"Asc alle u toobad keen, baabe jey , cimrigaaga iyo caqligaagu way Kala durugsan yihiin. War miyaadan Islam ahayn, damiir lahayn. Maantay waa adduun barrina waa aakhiro, markii alle xanuun kugu keenana waad oydaa, markii aad xoogaa isku adisatana waa kufrin og tahay subxaanallaah. Towbaddu wey u furun tahay qofkasta alle u towbadkeena.",1
220,Subxanalah,1
221,subxanallah subxanallah subxanallah allow xishodka hanaga qadin tani aad ku tilmantey gabar sharaf laah madan so bandigin allah kabaq caabta iyo fusuqa aad fafinaso miyadan ka xishonan,1
222,Wll kasar video alle dartiz waayo aape tahy,1
223,Qof walba muslim ayaa og waajib ku yahey salaad walba u dukado in ku saliyo shaqsiga like ku raadsanaayo suubanaheena inuu ku salin ama salaada xataa mar dukado marna dukano marka adinka is saxa ka dib walaalka qaldan u duceey in wadada toosan aadiyo yaa baneeye in dadka la caayo,1
224,Soomaliye qofka danbiilaha ma loo duceeyaa mise waa la caaya gabadhan hada caayneysaan in niiga mid hadey hanuun ugu duceyso hadi alla u aqbalo ducada adinka ayaa ajar leh caayda dadka caayneysaan yaan leydin ciqaabin adinka waxaa kale oo canaan u baahan kuwa like ku raadsanaayo suubahaheena,1
225,Baba jey Allah ka baq oo rerkada iyo ilmha unax qof fasuq ah oo Allah ku Casisay sharafta dumarka somaliyed ha ku matalim tana Allah oyobadken vedio iska saar anaga sidan funskaga ku ma si noqon dono,1
226,kasaar waxan carur yryar aakudawato oo caruurtada kamid yihiin waxad xayeysiineysna way arkyan alle kabaq,1
227,Alle subxanahu watacala ayaa inoo caroonayo babajey waxan uu ku dhaqmay in aan ka aamusno waayo waxa uu ku dhaqmay waa wax diinta islaamka baal marsan uuna ku dambaabay diinta islaamkana waa uu ku gafay waa nin aad u dhaqan xun baba jey youtube ka,1
228,SubhanaAllah,1
229,Babajey waxan caadi ba Ka dhigaysaa dumar bdn ba Ku dayan doona si ay can unoqdan oo la waraysto,1
230,Alaw israaqada meel xun hanaga galinin,1
231,Subxanalah,1
232,Subxalh,1
233,War wadwalady subxanllah so family matihit mise maxii shodiid mise lacaka ayya rabtah o xaaranah waxaa wilka xaslaantah waxuka xishod dahy ayya ka xishod wasy subxanllah,1
234,Babjey waxaan kasaar,1
235,"Acuudu bilaah, Nabi SCW Wuxuu yidhi magacyo fiican la Baxa . Iyana waxay leedahay Queen Qaawan! allow na Astur . Waar ka dhig private this crab!",1
236,Babajey wax fiican ma adan suubin irzaqada illah meel kale hakasiiyo naag qaawan o fasahaad ah marka wareysatey aya fashilmatey ≡ƒÿÅ≡ƒÿá≡ƒÿí subhanaAllah,1
237,Baaba jey nuucaana ma aheed adiga maxaa jawaab quruxbadana war isku xishoo,1
238,Subxnlh,1
239,Baba jeeytan kama fileen bro lakin waxaa dhira galinaysaa qof dhaqan xunka samaysa diin ahaana maficna sidaayeshay,1
240,"BaabaJay,, sharaftaada iyo karaamadaada ayaad ku ciyaartay, nusqaan weyn ayaad isu geysatay, meel liidata ayaa irsaaqadi kaa gashay. Cajaladan ka saar meesha taageerayaasha iyo dhamaan ummada soomaaliyeed raali gelin sii. Rabigii ku abuurayna cafis weydiiso.   Naagtan waxba ka odhan maayo oo ka hafalkeeda ayaaba xaaraan ah. Subhaanallah.",1
241,Subhanallah shaydaan ayaa qaatay,1
242,Fuxshi iyo fasahaad miyaa irziq laga doonaa? War isku xishoo.,1
243,Allaha ku soo hadeeyo amiin yaa allah abaayo,1
244,*Nin Weyn Ayaad Tahay Baba Jey Hadaad Tahaay Qof Ilahay Rumeesan Tahay Ka Saar Videoga*,1
245,Waa in dadka ku xidhan chanelka babajey waa inay kala noqdaan subscribeta iyakoo ka dhiidhiyaya gefka uu u gaystay diinteena iyo dhaqankeena somaliyed iyo sharafta hablaheena waa inaad ka dhiidhidaan oo damiirkiinu ha shaqeeyo kanoo kale uma qalmo in la daawado maanta hadad u hiili waydo diinteena suuban ogow ilaahay hortiisa in lagugu waydiinayo oo aanad cudurdaar u helayn u hiili diinteena oo kala laabta ninkan subscribeta adigoo diinteena u hiili Naya si ay ciqaab ugu noqoto ninkan kuwa kale eee wadadan qaadi doonana ay digniin ugu noqoto,1
246,Baba jey ilaaheey ka cabso information qaldan aa somalida gaarsiinooysaa subscribe ka waan kaala laabtay,1
247,Baaba jey adiga iyo naagtan isma dhaantiin waar ilaahay ka baq oo vedio gan kasaar meesha,1
248,"Muqaalkaa Dartii waxaan kala laabtay Subscribeka, waxaan ku leeyahay Alleh ka cabso waa la dhimanayaa waxa aad ada usoo gudbinayso iska hubi",1
249,saar muuqal kaan hadaa ilaahay ka baqaysid,1
250,Waxaan idin weydiyay babajey soo abe ciyaal ladhaly ma eheen miya xagee ciyaal kisa xaraanta u siyay subxanallah babajey mucjisada rabi baa ku heysata iyo carada Allah mahe xanun kuma hayo ee ilaah hanga ka qabto inshallah munafaqa mumin iska dhiga ayaa tahay ≡ƒÿÅ≡ƒÿí≡ƒÿí,1
251,Allaha ku soo hanuuniyo hadduu uu hanuun kuu qoranyahay haddii kalana Allaha kaa qabto dadka,1
252,Subxana allah,1
253,Baana jeey wadada aad ku socoto wada fiican maaha muuqaalkan waxaadna dhiiri galinaysaa dumarka jirkooda ka ganacsada ≡ƒñó≡ƒñ¼≡ƒÿí baaba jeey unsubstantiated ha la dhaho ninkaan please ≡ƒÖÅ,1
254,So heerkaas Somali so ma marayso dadkii ugu liitay dhaqan ahaan in kasoo dhawaysoto walee baabajeeyoow waxaa wada iyo wabiga yaa wayn naag dhahayso jirkayga iibiyaa baa hadda inaa dhagaysano rabtaa nacalaa ay iyo shaydaan Ku yaalo,1
255,Baba kabixi please ≡ƒÖÅ,1
256,Sxb wan Ka xumahay in ad waxan so gud biso ≡ƒñö,1
257,Subaxanallah baba jey illahey kacabso kasaar video kan waxyabo qaar dadka eysan aqoon usii bayanineysa ayada allah sohanunsho,1
258,ASC MUSLIM FAMILIES KU SALI NABI MOHAMMED SCW SCW SCW THE BEST PESON EVER THE MOST KNOWLEDGEABLE AND MOST SHINE ALL ALLAH CREATED IS PROPHET MOHAMMED SCW SCW SCW SCW SCW SCW SCW SCW Γ¥ñ∩╕Å ≡ƒÆû Γ¥ú∩╕Å ≡ƒÆò SCW Γ£¿∩╕Å SHINE BRIGHT ALKAHU AKBAR ALLAHU AKBAR AKBAR ALLAHU AKBAR ALLAHU AKBAR Γ¥ñ∩╕Å ≡ƒÆû Γ¥ú∩╕Å ≡ƒÆò,1
259,Subxanallah,1
260,Muqaalkaa waa faaxisho aad faafinayso baaba jeey karsaar,1
261,Somaliye guriga hooyo kulapta oofahma dintina,1
262,Baaba jey meelaha qaar iska ilaali waxaad umaleyneyso wanaag ayaa kugu noqon karo xumaan waxaad faafineyso hada was xumaan jooji,1
263,Babaje waxaa la waareystaaa qof ad.sharaf kuu heleysiid iyo sumcaad lakin Markaan cimadadi aya kadhacdey mel xuun unuu kaagaliin irsuuqo wall,1
264,Uff babajey musiibadaan maawsresate ilahey kabaq,1
265,Uf baaba jeey shame on you Allah na kama cabsanaysid bal qofta aad Irsaaqada ku raad sanaysid eeg xitaa wuxuu channel kiisa ka faafinayaa website ka sharmuutooyinka nimanka iyo naaguhu ku kulmaan qofkii Allah dartii uneceb faaxishada iyo sinadu inay faafto fadlan report gayee,1
266,ILAHEY KA CABSO BAABA JEY WAR JOOJI FUXSHIGA YA ALLAH NAGA QABO KUWA SHARTA WADA AAMIIN YA RABI AAMIIN soo qoora YA MUSLIM Γÿ¬∩╕Å,1
267,Alaahey ka cabso,1
268,Subxanahaa,1
269,Sxb illahay kacabso wll,1
270,Dhiilo ayaad boqorad kubsheegaysaa maadan xishooneen nin wayn ayaad tahaye !,1
271,Baba jay sharmuutoyinka iyo wax yabaha xun xun maxa ku dawadhigay inad so bandhigto,1
272,Saan kaama filayn wllhi baaba subxnllh≡ƒÿó≡ƒÿó,1
273,Subxana laah waxaan makaa fileen baaba jey sidee wax kaayihiin kasaar waacadsi video gaan,1
274,Baba jey Alle cafis weydiso  Video delete iska dheh  Dhaqan xumo ayey ka hadlaysaa≡ƒÿ¡,1
275,Subxanallah Allah ku so hadeeyo waxa tahay Gabar Somaliyeed wa naxay marka Hadaladada dhageystay Caafimadkaga iyo cimrigaaga ka faaiideyso.,1
276,waxaad arki Donta lsago iskaka kibrinaya iskaka weyneysinaya oo kunacay,1
277,Waxas gabdha yar yar ayey bareysa adna waxa ku geeeye,1
278,Bulshada kugu xiraan in aad xumaan ujahayso koley wxan filaya rali kama aah in badan oo xumanta naceb aya jirto wxan filaya in badan oo kugu xiraan in aay bartaada utube aay unsubscribe dhihi doonaan sababto aah mantaa hdad wareysatay qof illahay iyo rasulkiisa kafurtay si caadna ugu dhirigalinaysa gabdhaha somaliyeed in aay sawiradoda kaganacsadaan barina in aad khanis wareysato wx bo kugu maaha,1
279,Subxana allah war allah kacabso babajey,1
280,Walaal caafimaadka in uu kugu dhibo walaal ulna leedahay waxani wax fiican ma aha ilaah ka baq oo ka saar viodo ka saar ilaah ka baq ilaah waxaa kaagga faryaayaa in caafimaad ilaah kugu dhibo Waa naga xishoonweyday ilaah ayaa kaaga baryay Nuur ka in uu kaa dhibaatayo inshaa alaah,1
