author,date,Comment,like_count,reply_count,comment_length
@abdulkadirh6209,2024-04-09T20:25:50Z,Cct camera hala badiyo wiliba nuuca habeenki mugdiga wax ku duubi karta,0,0,71
@abdirashidismail6088,2024-04-09T12:07:15Z,Khamrada madabagashaan 😂😂😂😂😂,0,1,28
@abdirashidismail6088,2024-04-09T12:07:44Z,Mase dad bay uxirantahy khamrada😮😢😢😢😊😢😢,0,0,39
@DuniaIsmail-of1oe,2024-04-09T11:23:08Z,salamada xamar  dadka ku nool Alle haso hadeyo qofcmar xuuna Ayuuba  kalagu dul murmaya,0,0,87
@mohamoudfarah197,2024-04-09T06:33:11Z,Maxakamada ciidan ka iyo xeer ilaliyahoodaba waan hambalyeynayaa  sida farshaxan ka leh ee aysoobandhigeen  cadaymaha lakin mid ayaan kucanan CCTV Cameradaha waxay ahayd inay  todobadii cishoba mar daawadaan oo soosaaraan markey sahaminta kujiraan iyo waxii lamida dhamaantoodan haladilo.,0,0,288
@user-sn5yz7vg8v,2024-04-09T03:49:48Z,"HAWIYOOW BISADA MUQDISHO JOOGTA KAQAALISAN  NAFTA IINSAANKA 
OK INWANAGSAN HADAY IDINKU JIRTO QISAASA GACAN KU DHIIGLAYAASHA",0,0,124
@user-sn5yz7vg8v,2024-04-09T03:43:32Z,"Hala wada toogto inta heshiiska ku ah dika marxumka 
Waar alle kabawa okitaabka ku dhaqma hadi kale walhy muqdisho gaala qabsanaysa ama As",0,0,138
@user-sn5yz7vg8v,2024-04-09T03:31:00Z,"Dalkaan caasimada halaga wareejiyo waayo aalcolayste iyo mid xaaran kuso koray iyo tuugo ayaa ku dhaltay 
Soomaliyeey katashada meshan caasimad mataale 
Yaaaab
Aaway MW IYO RW AWAY GUDOMIYE HEER GOBOL AAWAY SUPERVISOR INDHO INDHEYN MALEH MIYAA TABABAR MALEH MIYAA 
IMTIXAAN LAGAMA WAADIN MIYAA AAWAY SHAHAADO DIIMEED AAWAY SHAHAADO XUQUQUL IINSAAN 
SUBXAANALAAH 
SHAQO LAYSU GEEYO AFAARO QABIIL
TANEY DHASHAA 
WAALA BA AY ALOOW UMADAN BADBAADI",0,0,443
@user-sn5yz7vg8v,2024-04-09T03:10:52Z,"QISADII UGU NAXDINTA BADNAYD IYO CEEBTI UGU WEYNAYD EKU DHACDAY DAMU JADIID .
CADEYN WAXAA UAH INLAGU FASHILMAY DOWLADNIMADA 
MAGACA TALIYAA BA AY WAANA MAGACBLAGU XAARAY SUBXAANA LAAH 
ALOOW UMADA KAQABO AAAAAAAAMIIIIIN AAAAAAAAMIIIIIN AAAAAAAAMIIIIIN",0,0,252
@user-sn5yz7vg8v,2024-04-09T03:05:49Z,"CIDII MUQDISHO RAJO KAQABTAY QUUS GOOSO 
WAAYO BARQO CAD 4SAAC AMA 10 BARQANIMO AYAA QOFNOL OGANACSADE AH LAGU AFDUBANAYAA CAASIMAD BEEN BENEY AH 
DHIBKAS MAYIMADEN HADAY HAWIYE DOELADNIMO IYO CADAALAD YAQANAN 
OAY DILAA WALBA DILAYAAN . 
ABGAAL MANAAGA ?
NINKAN HADAY DILI WAAYAN HG HAWASTO ABGAAL UF",0,0,301
@salahabdi2032,2024-04-08T22:43:19Z,45:00 rugcadagan hadalku sheegayo dawladu wey ku badantahy wan ka xumahey gadalkiisa in la jaro blse wa in dib loo bara dadka dawlada ku jira,0,0,141
@Cadanishow,2024-04-08T18:00:01Z,Warya qasantay bahashu😂odoygan uu dodayo ee exactaly wuuu naga casheyey cawa😂,0,0,77
@user-ns3hi3nh1m,2024-04-08T17:57:16Z,"Ma waxa aynu odhan karnaa heerka daroogada ayaa keenaya in kiisas noocan ah ay ku kacaan askartu, bal maxay idinla tahay mushkiladu waa dhankee",0,0,143
@fathiaawil1597,2024-04-08T14:33:50Z,Wlhi shaqo fican bey qabteen sirdoonku ❤❤❤,0,0,42
@naima5863,2024-04-08T14:07:10Z,Subxana laah wadankiiweyu dhamaatay  ee maxeyqabataa dowlada soomaliyeed Sida noo dhaman  raga saaniyed waad hurudaane dalla gurmadka,0,0,133
@Miskiinow,2024-04-08T11:30:06Z,👏👏👏👏,1,0,4
@hanansaid7394,2024-04-08T06:38:51Z,😢😢,0,0,2
@amranali6867,2024-04-08T06:21:33Z,"Waxan ku faraxsanahy dalka inuu sii hormaray cameradahana hala badiyo wadoyinkana halagu dadaalo in nalal bdn lagu xiro.
Waxan lasii yaabanahay dadkan difaacayo qof dilaa ah subxanalah aaqiro xageed ku baxsaneysan lcg yar waxba ma tareyse Cadaalada ha shaqeyso mar wlba .

Guul taliye shuute inshallah ❤",2,0,303
@Miskiinow,2024-04-08T04:04:42Z,❤,0,0,1
@Miskiinow,2024-04-08T04:04:33Z,Guuul,0,0,5
@Miskiinow,2024-04-08T04:04:24Z,❤❤,0,0,2
@mucjisoxaaji2146,2024-04-08T03:08:27Z,Cebeey  Tacaal Nin Dhan oo Madax Ah oo Dad Afduub iyo Dil isku Daray Ma Qarsoomo Dhiiga Dadka Waliba Laga Gardan Yahay Subxaanallaaaah 😢😢😢,0,0,138
@anfacdadkaagaofficial6479,2024-04-08T01:11:52Z,Waxa somalia 🇸🇴 buur burinayo wa dad ka 70 da ah ee Dowlada mcn keda arkay bal firi wuxu ku hadlayo firi adaygan intan leg imanka laga qad waxa runta shegayo waa wilal yar yar ee cadenta idhaha runta ka saray,0,0,208
@hanirapper-bo5yr,2024-04-07T19:46:53Z,Abtigey ilahow ku naxariso 😢 balan wey ka daba iman donan sharciga kama baxsan karan,0,0,84
@mohamudabdullahiyusuf236,2024-04-07T18:23:38Z,Dowladnimo aya no iftiinty,0,0,26
@Somaliland-First,2024-04-07T16:07:26Z,Laamaha amaanka Muqdisho baadhitaan heer sare ah ayay sameeyeen. Shuute wuxuu u muuqdaa nin shaqadiisa si fiican u gudanaya oo daacad ah. Habaar qabe Qoslaaye umada halaga qabto. Carruur bilaa damiira ayaa amniga muqdisho mas'uul looga dhigay.,0,0,243
@mataanpio7541,2024-04-07T11:21:33Z,Wlhy yarka marxuumka la socdey aadbu unasiib badnaa,0,0,51
@Xadiyoluula,2024-04-07T10:37:58Z,"Nimankaan wax difaacaya, indho cadays University bay kaso baxeen😂",0,0,65
@Xadiyoluula,2024-04-07T08:50:08Z,"Ilaahay ha garab galo xaqa, hana caawiyo wiilsha garsoorka, ilaahay somali iyo muslimkaba ha hadeeyo
From Burco",0,0,111
@iskufilansidiihoyadead3451,2024-04-07T08:48:18Z,Abdi Aziiz africa Ayan xasustay ilahow ku naxariiso 😢,0,0,53
@FartunMohamed-yp4rs,2024-04-07T07:53:28Z,Cadalada,0,0,8
@Sara_1431,2024-04-07T07:23:17Z,Subhana Allah... Xaqu waa soo  daahiraa.  maxa udisheen miskiinka😢😢,0,0,67
@fardousadiisow2246,2024-04-07T06:06:01Z,"Ilahoow dowlada nooxooji amiin ila dhaha umada somaliyedeey alhamdulilahi ilahoow adaa mahad iskaleh , hoshaan looma kalaharin ee ilahoow marxuunkana u naxariiso ,dowlafana noo xooji🙏🏻🙏🏻🙏🏻",1,0,188
@safwanabdirahman8061,2024-04-07T04:22:22Z,"Sow idinku maydaan qoran qof noocaasa oo xil sidaa u wayn umaydaan dhiibin, police somalia oo dhan ayaa jaahilnimadu biyo dhigtay",0,0,129
@maslaxdiriye1587,2024-04-07T04:05:22Z,Ar ani Yaa shaqo isiisto daacad nimadeydu hala arkee🎉🎉🎉🎉,0,0,56
@kahsheaden9877,2024-04-07T03:54:43Z,Odeygan Caqli xumaa kulahaa “Gacani waxay geysateey leedahay”,0,0,61
@FahadOsman,2024-04-07T01:24:13Z,Waaba film caadi ah cajaaib waayey,0,0,34
@mohamedjama7231,2024-04-06T22:22:29Z,Shuutaa maxkamada so xiray! Hade maxu kuso xiray o lagu so gabagabeyay kiiska? Waxa waaba musalsal. Sheeko macan ba lagu bilabaya ado xage ku dambeen doonta ku haya ba bila jawab laguso dhamenaya.,0,1,196
@user-kf9tz9th6p,2024-04-07T01:58:54Z,Dil toogasho ah aa lagu xukumay maanta dilaaga taliyaha ahaa 😮,0,0,62
@romanslayer4679,2024-04-06T21:49:27Z,Taliye qamro caabtoy cadi eh anagi ila marineka mareykanka laso shaqeynay waligen sigar manan cabin subahanallah is ilaaliya somalay,0,0,132
@zamzamabdalle2564,2024-04-06T20:30:36Z,Ax siduu udhahy macamil ba iitagn ee bobsi si uu nftiisa ubdbadsado😢,2,0,68
@MohamedSheikh-no2sp,2024-04-06T20:29:18Z,Canjeex miya kan Gudomiyaha agfadhiyo,0,0,37
@user-un4td5yh6t,2024-04-06T20:11:09Z,Xaqu maqarsoomo,0,0,15
@HassanAlasow-qf1jh,2024-04-06T19:26:57Z,Dhamantoot wa gacan ku dhigla yaal xaqa ey ka galen wilki ey dilen haloga qis qaso,0,0,82
@hargeeleugaaska2759,2024-04-06T19:24:18Z,Liibaan Nairobi ayaan ku arkay maalin dhow,0,0,42
@hilaacmedia8210,2024-04-06T19:17:10Z,Xaqu hadu guleysto wadankeni nabad noqon Inshallah,0,0,50
@user-qq6il7mj1g,2024-04-06T18:54:13Z,Wlhi ad ayaan ugu farxay sida nabadsugida uso fashilisay waxa halkan laga oganaya in dowlada ay  dhaqaaday alx ilahaw wadan kena lo hagaaji kuwan iyo kuwakale e noqarsan nagasoqabo wilka ahay harumarki wadanka aye dhe dhel kudileen,0,0,231
@user-xt2rr5hp7d,2024-04-06T18:46:22Z,😮 vr,0,0,4
@CarteCarteburaale-qi5oc,2024-04-06T18:09:25Z,Taliye qoslaaye dil toogasho ah weeyi,0,0,37
@iman1527,2024-04-06T17:41:42Z,Waxan oo dhan waxa sabab uu ah awoda uu ka heato danka cidanka Wa in laso qabto qofki sargal ka digy oo dalacsiyay qofkan an dalkisa iyo dadkisa dacad uu ahen asagana Wa in la waydiya sababta uu darajadas uu geyay iyo sido ku hely kolay Abgal waye  uu malena qof an ahen xilkas maba lo dibaye,0,0,292
@MaxamuudMaxamaad,2024-04-06T16:25:07Z,Raakade vs naagtisa ubax bando 😂😂💔,0,0,34
@hasanalirasta-no3ow,2024-04-06T16:00:46Z,Ninkaan wuuba iska qoslaa kuligood hala toogto waa isku dinbi kuwan yaa lasoo deyn😢,0,0,83
@abubakarmoha3762,2024-04-06T14:59:51Z,Dimbi baaris nuucan ah weligeed kma dhicin Somalia cajiib,2,0,57
@nasibohassen2066,2024-04-06T14:13:04Z,"Dhaadhaankan awalba cilmi , maadi iyo dini kumu tagin ee 4.5 buu ku tagay booskaa",0,0,81
@Dr.Aarka-2023,2024-04-06T12:37:15Z,AUN MARXUMKA.. QOFNA ISMA WAYNDIIN MEESHA LAGA KEENAY QAMRADA. 😢,0,0,64
@shijo2055,2024-04-06T12:27:26Z,"قال في (الموطأ): حدَّثني يحيى عن مالكٍ، عن يحيى بن سعيد، عن سعيد بن المسيب: أن عمر بن الخطاب قتل نفرًا خمسةً أو سبعةً برجلٍ واحد، قتلوه قتلَ غِيلةٍ، وقال عمر: ""لو تمالَأ َعليه أهلُ صنعاء لقتلتُهم جميعا:( صدق عمر بن الخطاب الله يرحمه ويرحم جميع اموات المسلمين والمسلمات والمؤمنين والمؤمنات الأحياء منهم والأموات اللهم امين 🤲🤲🤲🤲) ❤",0,0,329
@sihaemhussein883,2024-04-06T11:59:37Z,Somalia guul🇸🇴🇸🇴❤❤,0,0,18
@siciidkayse5488,2024-04-06T11:56:39Z,Kiisku muxuu kusoo Dhamaday,0,0,27
@maryammoalem6280,2024-04-06T11:01:59Z,Hala gubo niman kaa waba khawaarijta la sheegee sheydamanka. Wey ku mahadsanyihin hayadaha Amniga howsha fican ay shacab kooda u hayaan. Allaha idin  guuleeye ❤❤❤❤❤🇸🇴🇸🇴🇸🇴🇸🇴🇸🇴🇸🇴,0,0,176
@bebettertoday8444,2024-04-06T10:35:33Z,Diinta maxey ka qabta ado looyar isku sheega qof dhiig galay hada difaacdo?,0,0,75
@OsmanOlow,2024-04-06T10:19:15Z,Wakiilada eedesanayasha ayaa marqatiyaal ku noqdeen ba danbiga,0,0,62
@ismaaciilgalad9785,2024-04-06T10:02:10Z,Somali film 2024,0,0,16
@zamzamkaahin4478,2024-04-06T09:01:23Z,dhiiga islaamka ma qarsoomo wlhy lkn waayba dhaceenee maxay udili🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲,0,0,75
@abdisalammohamed3595,2024-04-06T08:57:12Z,Bal qofka nocas ninki msuliyad inta la eg udhibay baa qaldnaa qof mujrim qamri cab ehi ba lgu leyahy wa taliye alle ku qabay,1,0,124
@nouralihassan2482,2024-04-06T08:47:37Z,"kiiska waxaan oo qamri ah 5 maa cabi kara 
aniga waxa is dhahay ilaa kuwii baarayay wixii ay cabeen aa nimanka loo soobaasay cml lakin kiiska inta kale waa loo qaateen abaabulkas mrka egto",0,0,188
@shimaaliibrahim5514,2024-04-06T08:31:25Z,Hala toogto kan talie ma is taa hilee,0,0,37
@youmanmohamed8253,2024-04-06T08:05:47Z,Shute allweys ahute😂,0,0,20
@saidmohamud2665,2024-04-06T07:52:18Z,Mansha Allah kisikii ugu cuslaa hadana ah uguna khatarsanaa ayuu ahaa. Mansha Allah shaqo fiican ayey qabteen poliska Somaliyeed iyo Xeer illayashaan dhalinyarada ah shaqo FBI aysan qabanin ayey qabteen shaqo fiican. Wadanka wadadii cadaalada lugta saarey.❤️❤️❤️,0,0,262
@MoohaFaarax,2024-04-06T06:39:51Z,Mahadsanidiin bahda garsoorka soomaliyeed waxaad qabateen shaqo wacan oo wanaagsan  Allaha u naxariisto marxuum abuukar Ahmed kaaabax waxa uu ahaa qof qiima badan oo dadkiisa jecel waxa uu ahaa nin afkiisa iyo gacantiisaba laga nabad galay,1,0,239
@aaminojubooy9203,2024-04-06T01:43:00Z,Walee xamar wexey yeelatay dad u adeego maashaa alaah,1,0,53
@canabahmedgesey61,2024-04-06T01:36:29Z,⚖️⚖️⚖️⚖️⚖️⚖️🌙🌙🌙🌙⚖️💯💯⚖️🌙🌙💯⚖️🌙💯💯💯🌙⚖️🤲😭🤲😭🤲😭🤲🕋🕋🕌🕋🕌🕋🤲😭😭😭🇸🇴🇸🇴🇸🇴⭐️⭐️🌟🌟🌙🌙🌙💯💯💯⚖️⚖️⚖️😭🤲😭🤲😭🕋🕌🕋🕌,0,0,84
@ggfff1733,2024-04-06T00:11:43Z,Mashalah waa  guul cusub iyo wax qabad la taaban karo howsha ay qabteen hayadaha Amaanka,0,0,88
@QARANSUGE,2024-04-06T00:00:49Z,"Khamriga - saraakiisha marka ladhaho  khamriga ayagaa caba waxay qofka galiyaan ciriiri maadama ay awood leeyihiin Balse Taliye Qoslaaye ayaa Sawirka Cabtoyga ee Saraakiisha Ciidanka Police ka 

Saraakiishu wa Cabtoy",0,0,216
@hiiraalemedia,2024-04-05T23:06:32Z,Dadka nuucaan oo kale ah Somalia loogama baahno ee dhamaantood hala dilo intii ka qayb qaadatay dilka Abuukar Kaabax. Waayoo waa xayawaano ee maahan dad caadiya.,0,0,161
@farxaankhadar4398,2024-04-05T22:00:44Z,Waar meezha cadow ayaa shacabka dhiigooda banaystay ee camarada halabadiyo,0,0,74
@amiir43able,2024-04-05T21:57:30Z,3:38 war ninka maxaa kudhacay😮😮,0,0,31
@AaminoAbdirahman-ly9no,2024-04-05T21:48:09Z,Waxan la yabay hal qabiil lee dadka low xukumaa meqa maskina ah la dily ilaa hda anan cadalad helin wlhi wa yaab,0,0,112
@Kingfilog1,2024-04-05T21:35:27Z,camerada qarsoon aad baan ula dhacay shaqada wanaagsna eey qabatay runtii hala babdiyo good job alaa mahadaas leh alaa mahadaas leh tuugta soo qabtay alaa  mahadaas leh,2,0,168
@WacanMahdi-nw9oo,2024-04-05T21:15:22Z,Allaahu akbar waxan ku faraxsanahay sida quruxda badan ee ay hawsha u wadaan hay.adaha amniga iyo askartu Somalia ha noolaato❤,2,0,126
@asiaali566,2024-04-05T20:38:52Z,Inkaar idinkudhqcday,0,0,20
@dhambal1,2024-04-05T20:30:05Z,Kuwaan nolol ma mudna aduunka halaga qariyo aamin malahan taliyaasha😢,0,0,69
@mohamedawes6370,2024-04-05T19:29:03Z,Dr Bille waa sarifle wayn ee suuqa crypto.,0,0,42
@RJ22536,2024-04-05T19:19:58Z,Mash allh waxan ka codsanaya in leerka io camira la badiyo sida wax walba wafi u noqdaan,0,0,88
@CabdicasiisShiiqNuur,2024-04-05T19:17:09Z,😂😂😂😂,0,0,4
@CabdicasiisShiiqNuur,2024-04-05T19:16:56Z,0:59,0,0,4
@UmaymaAbdalla,2024-04-05T18:42:51Z,❤,0,0,1
@teamcanaad5579,2024-04-05T18:31:03Z,Waa dilaa arxan daran rumahantii waxow mudan yahay ciqaabtii uu barsiiyay marxuumka inla marsiiyo,0,0,97
@user-tx9de8qe7x,2024-04-05T17:54:44Z,In aalilaah kuwaas ayaa xil loodhiibay,0,0,38
@Nimco.qaali143,2024-04-05T17:44:06Z,"Alla unaxaristo marxumka
Waxaan ad ugufarxay dadalka hay adehena iyo inlaogaday ine jiran ganacsato gacansato kale udisho ganacsi awgiis ee jiran shabakado 
Halawada toogto si ganacsade dambe ugu dhiran ganacsadekale dilkiis",0,0,224
@fankafantasticofficial5604,2024-04-05T17:10:45Z,Cadaaladu hawaarto inta kiiskaan gashay haddii latoogto,0,0,55
@Bile_hajji,2024-04-05T15:57:55Z,Abukataha sharciga was uku tunty,0,0,32
@yussufaliyusuf1804,2024-04-05T15:20:36Z,Somalia is nothing wlh😢,1,0,23
@abdirahmanmohamed3283,2024-04-05T14:55:35Z,aan maxkamad reer ilaalin bartay waxaaan arkayey mid meeshaan oo difaaacaba dadka dembiyada ama crimes ah suudhcase walee waa shar socata.,0,0,138
@bashiirlucky346,2024-04-05T14:45:06Z,"cameroyinka hala badiyo,waxan leeyahay dowlada qeer allah idinsiyo cadaalada waligeeda ha jirto,qabiilka u doono ha ahaado qofkii qof hala dilo,",0,0,144
@MohamedAbdulkadir9,2024-04-05T14:38:30Z,ilaahay ha u naxariisto marxuumka.waxaan u hambalyaynayaa DFS oo horumar ka samaysay dhanka cadaaladda iyo dambi baarista. puntland oo aan joogo cadaalad badan kama jirto kuwa cadaaladdu qabatana lamaba toogto badamakooda oo xabsiyaday isaga raaxaysraan,0,0,253
@ismailodeisuge9030,2024-04-05T14:19:47Z,Kuwaan waa maafiya waa alcaponihii xamar waa in dil toogasho lagu xukumaa,0,0,73
@suleekha4785,2024-04-05T14:10:37Z,Wlh waxaan aad ugu faraxsanahy in fal wadankenna gudihiisa ka dhacay sidaan oo dhan faahfaahintiisa aannu u helno runtii dhawr sano kahor sidaa maanu ahayn intaas iyo kabadanna waan rajeynayaa guul coidankeenna❤❤iyo maxkamadeheenna sida tafaha tiran inoogu soo gudbiyey❤❤🎉,15,0,272
@salmo.1,2024-04-05T13:44:50Z,"Ilaahow wadankeyga amaan ka u siyadiyo dowlda waan uku hambelyeyna shaqada adag ay qabatay dhagar qabaysha in lasoo wada qabto wxa fududeyo cctv yada bananada laku xiray guusha way dhowdahay insha,allah.",0,0,203
@sumayayusuf9636,2024-04-05T13:09:32Z,1000$  lacag miyaa hadda oo naf dhan loo gooyo waaba dad eber ahee,1,0,66
@user-uh5hc8ei5g,2024-04-05T12:50:33Z,Guul ciidaanka xooga dalkeyno dhan,0,0,34
@asiyaabdikarim6467,2024-04-05T12:38:13Z,Wa alx hadii laso qabtay qaatiliinta dhiiiga muslimka banaystay,1,0,63
@dr.abdikhalikabdi6074,2024-04-05T12:19:13Z,Alxamdulilah Somali Cadaalad ayey heshey,0,0,40
@AbdimalikMohamed-ln5tg,2024-04-05T10:50:05Z,Intan qamri qof cabayo maab jiro be see wax u wadan 😂,0,0,53
@cabudi1779,2024-04-05T10:41:16Z,Mashallah wala farxay wallaahi sida loo xukumay runti Wana Wana sax in la laayo dhamantood,1,0,90
@bella-xb1ug,2024-04-05T10:34:51Z,"Bal qof dhan oo masuul laga dhigay inuu dadkii uu masuulka ka ahaa kusoo hoos noqdo soo wax lala yaabo maaha💔

Waxaanba moodaa inaan daawanaayo فيلم وثائقي laga diyaariyay koox al shabaab ah💔 



Meeel daran alle idinka bixi waaba ka baxdeene

Tiirka insha allaah",1,0,263
@haalaabdirizak4429,2024-04-05T10:17:05Z,"Dhalin yarada xamar wa wada argagixizo  yaab 
Bal wadankina mad difacatan hadaba sidas wax u search garaynaysan 
Melkasta idinka magaci somali ku bahdilay dad wada argagixizo ah adunka dhan wa ka socan tihin umadaha kale 
Xamar dawlad kama jirto shittt",0,0,252
@halimahassan1981,2024-04-05T10:14:21Z,"Dadka dilaaga ah markey dadka dilaan ayey qamra cabaan ama darooga isticmaalaan si loo dhaho wuu cabsanaa ama wuu daroogeynaay marka waa inaad dhageysanin dilaagaas ee lagu qaadaa denbigay galeen , Sababtoo ah qof cabsan ama daroogeysan ma sameyn karo plan ah dil kaasi dilkaani waa silsilad dheer ilaa dibad iyo gudaba , ee tiirka geeya Qoslaaye .",0,0,348
@Abdinasirsiciid,2024-04-05T09:59:31Z,Dowladaan dhan fashil waaye wllhi inta qarsan ayaa ka daran,0,0,59
@AnuushMursal,2024-04-05T09:28:04Z,Dil toogasho kuligood,0,0,21
@bareoumar9,2024-04-05T09:20:55Z,Waad mahadsan tihiin sida loo shaqeeyey iyo dadaalka la geliyey dhamaan reer ilaalin guuleysta guul guul ❤❤❤❤❤❤❤ mahadsanidiin xaqa ha guuleysto.,3,0,145
@user-dp8rg2bw7c,2024-04-05T08:40:37Z,"Camerada jidadka xaafadaha ha lagu xiro, dawladda canshuurta ha ka dayso soo gelidds ccv camera si ay u iibsan karaan dhammaan muwaadiniinta looguna qasbo.
Goob kasto hadii lagu xiro dulmigaa yaraan lahaay.
Dadka qaarkood waa dugaag aan naxariis leheen Allana ka baqin. Lkn ka baqa camerada.
Alla maxaa daalim mas'uul laga dhigay kii akhayaarka ahaana shaqo la'aan uu uga tahriibay dalkiisii hooyo.",1,0,398
@rock_diamond9475,2024-04-05T07:56:54Z,Sayidka wu ka been sheegay nacalada,0,0,35
@adenabdinur5358,2024-04-05T07:56:42Z,Iska dulqaata ehelka u ka baxey marxuumka cadaalada aya marwalba sareyn allow u cadaalad helaan ehelka u ka baxey marxunka,0,0,122
@maxamadcumarxasandhoolcade3215,2024-04-05T07:52:36Z,abuukaatahaan  ILAAHAY KAMA BAQAAYO MIYAA,0,0,41
@adenabdinur5358,2024-04-05T07:45:18Z,Ciidanka qaranka waxan leyahey guuleysta waxadna garan karta in hore lo socdey sababto ah CCTV CAMERADAHAS NISA IYO CIDAMADA AMNIGA AYA WAX BADAN FUDUDENAYA IN DANBIYADA CASIMADA LO HELO TIXRAAC LANA SO AFJARO IYADO CADCAD MASHA ALLAH CLEAR HALAGA DHIGO SAWIRTA TAARIKADA HALA BADIYO PLZ CAMEROYINKA,0,0,299
@hamdixsan,2024-04-05T07:33:56Z,Camerooyinka faaiidaa ay leeyihin ayaa soo baxaday ee Ciidanka arrintan ka shaqeeyey waad mahdsantihin,0,0,102
@garaaadibnuahmed8664,2024-04-05T07:25:58Z,Masha Allah hayada dambi baarista aqoon badan ayey heleen waana hambalyeynayaa Dhamaantood Gacan ku dhiiglayaasha hala toogto,0,0,125
@ibrahinxasan107,2024-04-05T06:46:35Z,Waxaan aad ulla yaabay ninka yidhi (dilka anagaa gaysanay balse anigu waxba ma dilin ) bal is qabadsiiya idinku,0,0,111
@ahmedabdi3784,2024-04-05T06:32:01Z,Waa in la dilaa dhamaantood,1,0,27
@abdinasirawga5728,2024-04-05T06:29:01Z,"Dadkan dawlad la'aantaa dhashay , waa bahalo ma ahan dad caadi ah",0,0,65
@user-ze4st5rd7x,2024-04-05T06:11:01Z,Naclada rabi idin kudhacdey wxna ladhahaya wa ciidan moryan cunug kayar o shaqeste ayey xolihisa kudilayan baad kuligod wa in ladilo wa nahaabiyal balayo idin kudhacdey,2,0,168
@gorgor9693,2024-04-05T06:00:24Z,Qareenada dambilayaasha difaaco ee somalia horta baaba’ maxey uyihiin kuwi kii gabadha gubay kuwaan cml ay uhadlaayeen 😅,0,0,120
@fadumosaid2419,2024-04-05T05:57:37Z,Hala laayo tuugada tuugadu ahaatey  gacan ku dhiig layasha,0,0,58
@kingcfVlogs,2024-04-05T05:32:07Z,Dadka waxaa dila waaa kuwa  asgarta iska dhigaayo,0,0,49
@SAIDGALER,2024-04-05T05:18:13Z,"Makmadaha waa tiirka ugu muhiimsan ee cadaalada, waxa wanaagsan lahaa in dhismooyin waa wayn qurux badan loo dhiso",0,0,114
